geo_code,geo,time,poblacion
CY,Cyprus,2001,697549
CZ,Czechia,2001,10232027
DE,Germany (until 1990 former territory of the FRG),2001,82259540
DK,Denmark,2001,5349212
EE,Estonia,2001,1392720
EL,Greece,2001,10835989
ES,Spain,2001,40665545
FI,Finland,2001,5181115
FR,France,2001,60979315
HR,Croatia,2001,4295406
HU,Hungary,2001,10200298
IE,Ireland,2001,3832783
IS,Iceland,2001,283361
IT,Italy,2001,56960692
LI,LI Liechtenstein,2001,32863
LT,Lithuania,2001,3486998
LU,LU Luxembourg,2001,439000
LV,Latvia,2001,2353384
ME,Montenegro,2001,605988
MK,North Macedonia,2001,2031112
MT,MT Malta,2001,391415
NL,Netherlands,2001,15987075
NO,Norway,2001,4503436
PL,Poland,2001,38253955
PT,Portugal,2001,10330774
RO,Romania,2001,22430457
RS,Serbia,2001,7504739
SE,Sweden,2001,8882792
SI,Slovenia,2001,1990094
SK,Slovakia,2001,5378783
TR,Türkiye,2001,64729501
UK,United Kingdom,2001,58999781
AL,Albania,2000,3058497
AT,Austria,2000,8002186
BE,Belgium,2000,10239085
BG,Bulgaria,2000,8190876
CH,Switzerland,2000,7164444
CY,Cyprus,2000,690497
CZ,Czechia,2000,10278098
DE,Germany (until 1990 former territory of the FRG),2000,82163475
DK,Denmark,2000,5330020
EE,Estonia,2000,1401250
EL,Greece,2000,10775627
ES,Spain,2000,40470182
FI,Finland,2000,5171302
FR,France,2000,60545022
HR,Croatia,2000,4497735
HU,Hungary,2000,10221644
IE,Ireland,2000,3777565
IS,Iceland,2000,279049
IT,Italy,2000,56923524
LI,LI Liechtenstein,2000,32426
LT,Lithuania,2000,3512074
LU,LU Luxembourg,2000,433600
LV,Latvia,2000,2381715
ME,Montenegro,2000,603152
MK,North Macedonia,2000,2021578
MT,MT Malta,2000,388759
NL,Netherlands,2000,15863950
NO,Norway,2000,4478497
PL,Poland,2000,38263303
PT,Portugal,2000,10249022
RO,Romania,2000,22455485
RS,Serbia,2000,7527952
SE,Sweden,2000,8861426
SI,Slovenia,2000,1987755
SK,Slovakia,2000,5398657
TR,Türkiye,2000,66889425
UK,United Kingdom,2000,58785246
AL,Albania,1999,3373445
AT,Austria,1999,7982461
BE,Belgium,1999,10213752
BG,Bulgaria,1999,8230371
CH,Switzerland,1999,7123537
CY,Cyprus,1999,682862
CZ,Czechia,1999,10289621
DE,Germany (until 1990 former territory of the FRG),1999,82037011
DK,Denmark,1999,5313577
EE,Estonia,1999,1379237
EL,Greece,1999,10747768
ES,Spain,1999,40303568
FI,Finland,1999,5159646
FR,France,1999,60158533
HR,Croatia,1999,4527460
HU,Hungary,1999,10253416
IE,Ireland,1999,3732006
IS,Iceland,1999,275712
IT,Italy,1999,56909109
LI,LI Liechtenstein,1999,32015
LT,Lithuania,1999,3536401
LU,LU Luxembourg,1999,427350
LV,Latvia,1999,2399248
MK,North Macedonia,1999,2012705
MT,MT Malta,1999,386397
NL,Netherlands,1999,15760225
